Job_Listing,Working_Title,Job Control,Salary_Range,Work_Type/Schedule,Department,Location,Publish_Date,Filing_Deadline,URLs
ACCOUNTANT I (SPECIALIST),Accountant I (Specialist),400163,$3600.00 - $4506.00,Permanent Fulltime,Department of Consumer Affairs,Sacramento County,11/9/2023,11/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=400163
ACCOUNTANT I (SPECIALIST),Accountant 1 (Specialist),379743,$3600.00 - $4506.00,Permanent Fulltime,Department of Rehabilitation,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=379743
ACCOUNTANT TRAINEE,Accountant Trainee – Telework Hybrid,402653,$4065.00 - $4992.00,Permanent Fulltime,Department of Motor Vehicles,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402653
ACCOUNTANT TRAINEE,Accountant Trainee,402217,$4065.00 - $4847.00,Permanent Fulltime,Department of Corrections & Rehabilitation,Sacramento County,11/9/2023,11/24/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402217
ACCOUNTANT TRAINEE,Accountant Trainee (PC 3141),366727,$4065.00 - $4992.00,Permanent Fulltime,Department of Education,Sacramento County,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=366727
ACCOUNTANT TRAINEE,Accountant Trainee,401058,$4065.00 - $4847.00,Permanent Fulltime,Department of Justice,Sacramento County,11/9/2023,11/27/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=401058
ACCOUNTANT TRAINEE,Accountant Trainee,401876,$4065.00 - $4847.00,Permanent Fulltime,Department of Food & Agriculture,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=401876
ACCOUNTING ADMINISTRATOR I (SUPERVISOR),Telework Option - Accounting Administrator I,402799,$6563.00 - $8153.00,Permanent Fulltime,Department of Industrial Relations,Sacramento County,11/9/2023,12/5/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402799
ACCOUNTING OFFICER (SPECIALIST),Accounting Officer (Specialist),402210,$4819.00 - $6214.00,Permanent Fulltime,Department of Resources Recycling & Recovery,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402210
AIR POLLUTION SPECIALIST,Air Pollution Specialist,402661,$5633.00 - $10903.00,Permanent Fulltime,State Air Resources Board,United States,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402661
AIR POLLUTION SPECIALIST,Air Pollution Specialist,402668,$5633.00 - $10903.00,Permanent Fulltime,California Energy Commission,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402668
AIR RESOURCES TECHNICIAN II,Air Resources Technician II,402711,$3693.00 - $4625.00,Permanent Fulltime,State Air Resources Board,Sacramento County,11/9/2023,11/30/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402711
AIR RESOURCES TECHNICIAN II,Air Resources Technician II,402727,$3693.00 - $4625.00,Permanent Fulltime,State Air Resources Board,Sacramento County,11/9/2023,11/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402727
ASSISTANT ADMINISTRATIVE ANALYST (ACCOUNTING SYSTEMS),Assistant Administrative Analyst - Telework Hybrid,396218,$4819.00 - $6214.00,Permanent Fulltime,Department of Motor Vehicles,Sacramento County,11/9/2023,11/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=396218
ASSISTANT CHIEF,Assistant Chief – Defensible Space Program,402294,$8615.00 - $11146.00,Limited Term Fulltime,Department of Forestry & Fire Protection,United States,11/9/2023,11/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=402294
